dataset,architecture,test_rmse,test_mae,test_r2,epochs
Set1_Temporal,Simple_LSTM,6.883198908438258,5.285862906173878,-1.0444169431086099,79
Set2_Trend,Simple_LSTM,8.08334204283715,7.488847943218543,-1.8194912046556269,19
Set1_Temporal,Stacked_LSTM,5.1477601451858925,3.611244876666872,-0.1434717462479591,45
Set2_Trend,Stacked_LSTM,7.7542073041170365,6.6441883535544175,-1.5945595720345058,85
